Method,Dataset,PSNR,SSIM,LPIPS,FID,KID Mean,ID Similarity,Temporal Jitter,Sync Proxy,metrics_json
PrivFedTalk,LRS3,7.3395161628723145,0.009682484902441502,1.3041834561154246,391.32171630859375,0.5106281042098999,0.018286836613697233,0.19954864331521094,0.08339261985383928,runs/paper_compare_2gpu_1000/privfedtalk_lrs3_stronger_resume_nopers/reports/publication_metrics.json
FedAvg (adapters),LRS3,7.339513778686523,0.00968253519386053,1.304182075895369,391.3345031738281,0.5106415748596191,0.018285327529156348,0.19954832538496703,0.08339289535069838,runs/paper_compare_2gpu_1000/fedavg_lrs3_stronger_resume_nopers/reports/publication_metrics.json
FedProx (adapters),LRS3,7.339517116546631,0.009682518430054188,1.3041830360889435,391.33917236328125,0.5106508135795593,0.018285576967173256,0.1995483401697129,0.0833928591455333,runs/paper_compare_2gpu_1000/fedprox_lrs3_stronger_resume_nopers/reports/publication_metrics.json
