Method,Variant,Dataset,SelectedBy,Round,ValLoss,ValID,ValTemp,PSNR,SSIM,LPIPS,FID,KID Mean,KID Std,ID Similarity,Temporal Jitter,Sync Proxy,metrics_json
PrivFedTalk,privfedtalk_lrs3_stronger_resume_nopers,LRS3,best_loss,558,1.3857640698552132,0.5562294870615005,0.9598159212619066,7.339515686035156,0.009682484902441502,1.3041834747418761,391.32171630859375,0.5106281042098999,0.00797017477452755,0.018286839986103587,0.19954864296596497,0.08339261991204694,runs/paper_compare_2gpu_1000/privfedtalk_lrs3_stronger_resume_nopers/reports/publication_metrics_best_loss.json
PrivFedTalk,privfedtalk_lrs3_stronger_resume_nopers,LRS3,best_id,901,1.391062080860138,0.5614458872005343,0.956682737916708,7.3395161628723145,0.00968249049037695,1.3041837941855192,391.3272399902344,0.5106342434883118,0.007970521226525307,0.0182884193091013,0.19954864215105772,0.08339262462686747,runs/paper_compare_2gpu_1000/privfedtalk_lrs3_stronger_resume_nopers/reports/publication_metrics_best_id.json
PrivFedTalk,privfedtalk_lrs3_stronger_resume_nopers,LRS3,best_temp,558,1.3857640698552132,0.5562294870615005,0.9598159212619066,7.3395161628723145,0.009682484902441502,1.3041834719479084,391.3218078613281,0.5106282830238342,0.007970176637172699,0.018286839622305706,0.19954864296596497,0.08339261886430904,runs/paper_compare_2gpu_1000/privfedtalk_lrs3_stronger_resume_nopers/reports/publication_metrics_best_temp.json
FedAvg (adapters),fedavg_lrs3_stronger_resume_nopers,LRS3,best_loss,558,1.3265978731215,0.5562288342043757,0.9598159864544868,7.33951473236084,0.009682536125183105,1.3041820833459496,391.33447265625,0.5106414556503296,0.007970216684043407,0.01828532593935961,0.19954832666553557,0.08339288912247866,runs/paper_compare_2gpu_1000/fedavg_lrs3_stronger_resume_nopers/reports/publication_metrics_best_loss.json
FedAvg (adapters),fedavg_lrs3_stronger_resume_nopers,LRS3,best_id,901,1.331698164343834,0.5614342894405127,0.9566833283752203,7.339503288269043,0.00968301109969616,1.3041865164414048,391.34228515625,0.5106523036956787,0.007975584827363491,0.018283721972693456,0.1995461432961747,0.08339465450262651,runs/paper_compare_2gpu_1000/fedavg_lrs3_stronger_resume_nopers/reports/publication_metrics_best_id.json
FedAvg (adapters),fedavg_lrs3_stronger_resume_nopers,LRS3,best_temp,558,1.3265978731215,0.5562288342043757,0.9598159864544868,7.33951473236084,0.00968253519386053,1.3041820852085948,391.33453369140625,0.5106416940689087,0.007970225997269154,0.018285330374055775,0.19954832503572106,0.08339289377909154,runs/paper_compare_2gpu_1000/fedavg_lrs3_stronger_resume_nopers/reports/publication_metrics_best_temp.json
FedProx (2GPU-config),fedprox_lrs3_stronger_resume_nopers,LRS3,best_loss,558,1.3265978135168552,0.5562296751886606,0.959815988317132,7.339515209197998,0.009682515636086464,1.3041832782328129,391.3341979980469,0.5106427669525146,0.007973391562700272,0.018289160823769635,0.19954832654912025,0.08339288830757141,runs/paper_compare_2gpu_1000/fedprox_lrs3_stronger_resume_nopers/reports/publication_metrics_best_loss.json
FedProx (2GPU-config),fedprox_lrs3_stronger_resume_nopers,LRS3,best_id,901,1.3316977471113205,0.5614393670111895,0.95668332464993,7.339503288269043,0.00968301109969616,1.3041872819885612,391.3337097167969,0.5106399059295654,0.007970885373651981,0.018284795674844645,0.19954614411108196,0.08339462586445734,runs/paper_compare_2gpu_1000/fedprox_lrs3_stronger_resume_nopers/reports/publication_metrics_best_id.json
FedProx (2GPU-config),fedprox_lrs3_stronger_resume_nopers,LRS3,best_temp,558,1.3265978135168552,0.5562296751886606,0.959815988317132,7.339515209197998,0.009682515636086464,1.3041832828894258,391.3340148925781,0.5106424689292908,0.007973363623023033,0.018289161827851785,0.19954832619987428,0.0833928904030472,runs/paper_compare_2gpu_1000/fedprox_lrs3_stronger_resume_nopers/reports/publication_metrics_best_temp.json
