Round 061/100 | clients=2 | val_loss=1.258042 | val_id=0.7318 | val_temp=0.9609 | time=0.68s
Round 062/100 | clients=2 | val_loss=1.261622 | val_id=0.7310 | val_temp=0.9555 | time=0.15s
Round 063/100 | clients=2 | val_loss=1.271172 | val_id=0.7306 | val_temp=0.9532 | time=0.18s
Round 064/100 | clients=2 | val_loss=1.284219 | val_id=0.7244 | val_temp=0.9388 | time=0.18s
Round 065/100 | clients=2 | val_loss=1.258763 | val_id=0.7323 | val_temp=0.9623 | time=0.16s
Round 066/100 | clients=2 | val_loss=1.273576 | val_id=0.7306 | val_temp=0.9512 | time=0.22s
Round 067/100 | clients=2 | val_loss=1.258595 | val_id=0.7312 | val_temp=0.9585 | time=0.16s
Round 068/100 | clients=2 | val_loss=1.267432 | val_id=0.7302 | val_temp=0.9543 | time=0.20s
Round 069/100 | clients=2 | val_loss=1.265956 | val_id=0.7312 | val_temp=0.9543 | time=0.16s
Round 070/100 | clients=2 | val_loss=1.253760 | val_id=0.7326 | val_temp=0.9642 | time=0.18s
Round 071/100 | clients=2 | val_loss=1.257708 | val_id=0.7298 | val_temp=0.9533 | time=0.12s
Round 072/100 | clients=2 | val_loss=1.262043 | val_id=0.7315 | val_temp=0.9577 | time=0.16s
Round 073/100 | clients=2 | val_loss=1.287271 | val_id=0.7264 | val_temp=0.9367 | time=0.30s
Round 074/100 | clients=2 | val_loss=1.281804 | val_id=0.7282 | val_temp=0.9444 | time=0.20s
Round 075/100 | clients=2 | val_loss=1.249715 | val_id=0.7330 | val_temp=0.9657 | time=0.10s
Round 076/100 | clients=2 | val_loss=1.264308 | val_id=0.7299 | val_temp=0.9543 | time=0.16s
Round 077/100 | clients=2 | val_loss=1.291843 | val_id=0.7266 | val_temp=0.9398 | time=0.20s
Round 078/100 | clients=2 | val_loss=1.258048 | val_id=0.7322 | val_temp=0.9621 | time=0.12s
Round 079/100 | clients=2 | val_loss=1.256731 | val_id=0.7318 | val_temp=0.9606 | time=0.47s
Round 080/100 | clients=2 | val_loss=1.262238 | val_id=0.7295 | val_temp=0.9568 | time=0.18s
Round 081/100 | clients=2 | val_loss=1.257767 | val_id=0.7311 | val_temp=0.9583 | time=0.34s
Round 082/100 | clients=2 | val_loss=1.244759 | val_id=0.7321 | val_temp=0.9659 | time=0.16s
Round 083/100 | clients=2 | val_loss=1.272844 | val_id=0.7287 | val_temp=0.9480 | time=0.30s
Round 084/100 | clients=2 | val_loss=1.281205 | val_id=0.7272 | val_temp=0.9428 | time=0.20s
Round 085/100 | clients=2 | val_loss=1.271396 | val_id=0.7279 | val_temp=0.9483 | time=0.21s
Round 086/100 | clients=2 | val_loss=1.299274 | val_id=0.7227 | val_temp=0.9282 | time=0.16s
Round 087/100 | clients=2 | val_loss=1.262706 | val_id=0.7302 | val_temp=0.9547 | time=0.14s
Round 088/100 | clients=2 | val_loss=1.270614 | val_id=0.7284 | val_temp=0.9505 | time=0.11s
Round 089/100 | clients=2 | val_loss=1.269114 | val_id=0.7302 | val_temp=0.9536 | time=0.25s
Round 090/100 | clients=2 | val_loss=1.248839 | val_id=0.7322 | val_temp=0.9633 | time=0.17s
Round 091/100 | clients=2 | val_loss=1.255727 | val_id=0.7301 | val_temp=0.9551 | time=0.51s
Round 092/100 | clients=2 | val_loss=1.253513 | val_id=0.7317 | val_temp=0.9629 | time=0.14s
Round 093/100 | clients=2 | val_loss=1.280119 | val_id=0.7300 | val_temp=0.9499 | time=0.17s
Round 094/100 | clients=2 | val_loss=1.250413 | val_id=0.7324 | val_temp=0.9610 | time=0.11s
Round 095/100 | clients=2 | val_loss=1.270218 | val_id=0.7303 | val_temp=0.9533 | time=0.18s
Round 096/100 | clients=2 | val_loss=1.278204 | val_id=0.7272 | val_temp=0.9476 | time=0.15s
Round 097/100 | clients=2 | val_loss=1.237751 | val_id=0.7339 | val_temp=0.9698 | time=0.18s
Round 098/100 | clients=2 | val_loss=1.265874 | val_id=0.7316 | val_temp=0.9579 | time=0.12s
Round 099/100 | clients=2 | val_loss=1.261382 | val_id=0.7310 | val_temp=0.9534 | time=0.37s
Round 100/100 | clients=2 | val_loss=1.263183 | val_id=0.7314 | val_temp=0.9563 | time=0.21s
