round,clients,avg_score,time_sec
0,"[2, 3, 12, 16, 1, 5, 6, 8, 18, 7]",0.9718519037961959,7.902225732803345
1,"[8, 9, 4, 6, 19, 1, 2, 0, 5, 10]",0.9684196048974989,6.036069393157959
2,"[17, 5, 16, 18, 9, 8, 2, 1, 7, 0]",0.9724042612314225,6.042503118515015
3,"[1, 2, 10, 3, 17, 12, 11, 8, 16, 14]",0.9659871721267701,6.037127494812012
4,"[6, 3, 4, 7, 13, 5, 11, 8, 17, 14]",0.9629952067136764,6.111953258514404
5,"[8, 3, 7, 1, 10, 9, 6, 13, 15, 17]",0.9732065439224243,6.023828029632568
6,"[9, 11, 18, 12, 13, 1, 14, 19, 10, 2]",0.970400320291519,6.142556667327881
7,"[19, 15, 16, 18, 11, 12, 3, 2, 1, 4]",0.9678972494602203,6.138376235961914
8,"[16, 18, 9, 13, 8, 3, 4, 12, 10, 6]",0.9720306307077408,6.015002012252808
9,"[14, 1, 12, 17, 13, 11, 6, 2, 7, 16]",0.9636405485868454,6.078425168991089
10,"[17, 2, 4, 8, 18, 11, 9, 14, 10, 6]",0.9721644604206086,5.980400323867798
11,"[4, 13, 19, 0, 1, 2, 3, 12, 17, 8]",0.9712013566493989,6.007103204727173
12,"[1, 8, 15, 17, 2, 19, 3, 0, 14, 18]",0.9662746322154998,6.020211696624756
13,"[19, 0, 6, 10, 16, 5, 9, 2, 4, 11]",0.9766403716802596,6.015044450759888
14,"[9, 0, 2, 15, 19, 14, 6, 3, 8, 10]",0.9673249101638796,6.044323444366455
15,"[10, 4, 15, 18, 9, 0, 7, 17, 11, 16]",0.9678417670726776,6.0236122608184814
16,"[15, 14, 12, 8, 9, 7, 2, 19, 13, 5]",0.9732291412353515,6.052108287811279
17,"[1, 2, 9, 14, 6, 10, 4, 12, 18, 3]",0.968600952029228,6.0872485637664795
18,"[4, 10, 6, 9, 16, 1, 5, 11, 14, 13]",0.9736337286233901,6.066182613372803
19,"[14, 15, 19, 1, 13, 18, 2, 12, 0, 10]",0.9744491469860078,6.061269044876099
20,"[5, 16, 0, 1, 4, 3, 15, 7, 18, 8]",0.968676819205284,5.995699167251587
21,"[19, 0, 4, 12, 10, 15, 1, 14, 6, 8]",0.9689663183689117,6.189722061157227
22,"[3, 18, 8, 5, 7, 2, 16, 0, 17, 14]",0.9671931385993957,6.161868095397949
23,"[1, 3, 17, 16, 7, 10, 18, 4, 0, 9]",0.9700016814470291,8.005175590515137
24,"[2, 13, 10, 16, 15, 1, 9, 7, 3, 12]",0.9682989466190339,8.096621751785278
25,"[3, 8, 16, 6, 12, 15, 4, 18, 5, 19]",0.9693534713983535,7.937574148178101
26,"[8, 2, 1, 10, 4, 6, 15, 14, 17, 7]",0.9694552505016327,8.06346321105957
27,"[9, 17, 6, 3, 13, 1, 12, 2, 14, 8]",0.9691486895084381,8.00529146194458
28,"[6, 8, 12, 18, 14, 3, 17, 4, 9, 19]",0.9746877354383467,8.027732849121094
29,"[1, 14, 8, 19, 16, 13, 0, 2, 5, 4]",0.9684790033102034,7.8997886180877686
